Id,Probability,LoanAmount
0,0.3577173,1032
1,0.014021657,1523
2,0.9128372,7150
3,0.1576972,250
4,0.3533974,5551
5,0.046576943,250
6,0.32688984,3946
7,0.5497506,2827
8,0.25353223,319
9,0.3438951,1420
10,0.34990257,1683
11,0.3608084,3789
12,0.87574947,6402
13,0.56957537,6971
14,0.15831281,1880
15,0.31505963,5105
16,0.6999803,5927
17,0.5191243,10584
18,0.019294439,1144
19,0.27348295,4014
20,0.11145822,250
21,0.5906164,8032
22,0.0036804231,250
23,0.0760413,250
24,0.30173358,7587
25,0.039806675,357
26,0.8081335,6996
27,0.046536032,2964
28,0.3038793,5614
29,0.07092559,2064
30,0.32006836,2056
31,0.106564775,250
32,0.37282935,463
33,0.24099907,6907
34,0.12888277,250
35,0.2365022,1149
36,0.9569078,7846
37,0.23440462,778
38,0.44398263,1244
39,0.33078292,5601
40,0.014308474,250
41,0.5803018,5308
42,0.48004863,3452
43,0.014526054,250
44,0.19520617,5600
45,0.10141693,2187
46,0.8381138,5495
47,0.13840728,1884
48,0.10279345,2886
49,0.013440124,250
50,0.0439287,2511
51,0.60881907,2901
52,0.6905713,5673
53,0.015386002,1543
54,0.5837124,5056
55,0.29598543,3114
56,0.2827813,5913
57,0.50919974,6238
58,0.006470034,250
59,0.15879773,1820
60,0.54777235,3423
61,0.5060315,6703
62,0.29675007,2720
63,0.8549557,4603
64,0.61379045,4789
65,0.12326655,250
66,0.5840574,4649
67,0.019466301,250
68,0.45619795,5241
69,0.4040869,1420
70,0.09691841,337
71,0.5272972,6811
72,0.8608671,6795
73,0.30555043,1006
74,0.014482847,250
75,0.2367866,4411
76,0.24849269,2649
77,0.5751999,4722
78,0.9824058,10184
79,0.2530807,2875
80,0.4332357,5692
81,0.16089217,4609
82,0.008693519,368
83,0.0077707283,250
84,0.087921016,3072
85,0.30054337,5245
86,0.0068082116,250
87,0.009165598,1376
88,0.25979152,3811
89,0.41235903,1506
90,0.010377824,250
91,0.31671157,2916
92,0.047761098,3261
93,0.7240119,4660
94,0.32150146,1528
95,0.44404614,2605
96,0.534784,4989
97,0.9262068,3176
98,0.768139,5497
99,0.00882648,250
100,0.19062142,1380
101,0.33484823,5921
102,0.29118273,7061
103,0.23267072,7762
104,0.10853118,3047
105,0.2227455,1710
106,0.29534405,3416
107,0.9340441,8222
108,0.7919413,6222
109,0.014879032,1711
110,0.013983743,250
111,0.31799838,3681
112,0.45628297,5356
113,0.38295397,5238
114,0.01931606,250
115,0.6590191,5678
116,0.9239657,5851
117,0.04611678,250
118,0.24592721,1102
119,0.0528878,1645
120,0.7159282,8569
121,0.5905243,3373
122,0.21575224,3554
123,0.9487202,10292
124,0.2961809,3415
125,0.0044535776,312
126,0.41776052,938
127,0.04689457,250
128,0.009615781,309
129,0.17930199,1620
130,0.76038533,6893
131,0.7011192,4833
132,0.022372346,250
133,0.009020855,250
134,0.5917915,6307
135,0.12072184,1241
136,0.46758267,2976
137,0.004053928,250
138,0.44664788,5009
139,0.5318742,5124
140,0.47763,6415
141,0.013867157,250
142,0.36773568,1646
143,0.61075634,6559
144,0.39956272,2224
145,0.008734334,250
146,0.22071198,2624
147,0.8421312,8411
148,0.2628277,5853
149,0.14237812,586
150,0.8504247,9233
151,0.014956813,250
152,0.9943455,7240
153,0.292733,5626
154,0.043301858,250
155,0.5099191,1855
156,0.032100987,2049
157,0.87861127,5846
158,0.15537624,1830
159,0.25031188,5172
160,0.25304437,3003
161,0.23552433,2138
162,0.38549843,1401
163,0.018138329,250
164,0.3356969,6621
165,0.43196782,5251
166,0.32799178,4035
167,0.23056772,5096
168,0.15607662,701
169,0.9017649,6441
170,0.8783765,4673
171,0.8316202,6154
172,0.8277625,3794
173,0.2648373,3332
174,0.14896397,382
175,0.3496216,3351
176,0.38331965,5588
177,0.24929917,6417
178,0.24241903,2055
179,0.052152254,250
180,0.9769355,5775
181,0.34512907,1820
182,0.6824581,6198
183,0.05120501,1349
184,0.310064,3416
185,0.4415093,7499
186,0.4839603,4793
187,0.86868584,4155
188,0.9571522,5145
189,0.018313447,3068
190,0.42621955,2513
191,0.11306317,4409
192,0.12493706,1970
193,0.1057827,1145
194,0.085237496,583
195,0.17913142,3411
196,0.71978563,9016
197,0.669197,4553
198,0.008525866,250
199,0.07716974,250
200,0.12207197,1530
201,0.013974745,815
202,0.018068112,1895
203,0.70719516,4353
204,0.87473416,7876
205,0.9688183,9647
206,0.22527419,5940
207,0.36312756,4708
208,0.36561948,9010
209,0.56145155,8516
210,0.54121315,3396
211,0.04689457,250
212,0.049267747,2761
213,0.042869665,818
214,0.29631418,1098
215,0.7657302,5758
216,0.004053928,250
217,0.023404555,250
218,0.2996228,5821
219,0.22942872,1443
220,0.93652564,7208
221,0.42929512,2202
222,0.3578285,3229
223,0.64508134,6041
224,0.08870636,250
225,0.021947931,2705
226,0.28668553,3303
227,0.41646078,4140
228,0.00332729,250
229,0.18013273,2026
230,0.150318,3418
231,0.10236781,5542
232,0.07892431,1164
233,0.43706802,4574
234,0.6097619,250
235,0.76331455,3700
236,0.9495729,3000
237,0.37131068,4547
238,0.5850315,3109
239,0.97062993,7062
240,0.3856333,7191
241,0.09501367,1784
242,0.94733906,5223
243,0.8349557,4907
244,0.4492692,5210
245,0.18402925,4168
246,0.21793252,250
247,0.4649045,5013
248,0.30690753,3292
249,0.02122181,1157
250,0.041990984,1525
251,0.16321811,6169
252,0.18708625,1586
253,0.8198171,3072
254,0.0054833787,250
255,0.07121345,329
256,0.08625394,3562
257,0.424553,7173
258,0.6534269,3914
259,0.39563322,1110
260,0.37792602,3148
261,0.02741587,250
262,0.35775825,6281
263,0.25533628,4490
264,0.343026,2499
265,0.19012779,1312
266,0.29938978,2879
267,0.5469803,5234
268,0.008159509,250
269,0.85694885,5636
270,0.9367629,7465
271,0.08361138,840
272,0.032549426,2246
273,0.3537841,4469
274,0.20498371,2410
275,0.3964827,1735
276,0.3022027,2228
277,0.8406144,7624
278,0.21741265,6401
279,0.23718137,1853
280,0.2757057,3497
281,0.44194168,5182
282,0.14302005,2878
283,0.27553618,4375
284,0.32135686,5460
285,0.82444465,5723
286,0.2967498,4334
287,0.088455185,3073
288,0.0526069,3355
289,0.011799896,250
290,0.11104966,2573
291,0.016523317,250
292,0.030032191,990
293,0.8495186,5197
294,0.89766234,4134
295,0.5431623,4478
296,0.3802182,8300
297,0.15257087,3851
298,0.054865614,496
299,0.25834683,509
300,0.30137265,4801
301,0.14016683,1728
302,0.39482224,2776
303,0.3669137,3859
304,0.052594345,4137
305,0.16821398,5668
306,0.805411,5465
307,0.19297247,3797
308,0.07859988,1212
309,0.08249509,1969
310,0.9004923,6033
311,0.1817206,1368
312,0.07336798,4036
313,0.3046437,3420
314,0.033979695,250
315,0.20818761,5871
316,0.7706322,2544
317,0.15811531,4533
318,0.5622408,2403
319,0.74491125,2659
320,0.05863532,1233
321,0.0036804231,250
322,0.19260322,1216
323,0.38249955,3201
324,0.25725263,7682
325,0.011353286,250
326,0.43388987,6203
327,0.4190157,6651
328,0.420987,5877
329,0.9229126,8281
330,0.21967256,2527
331,0.68472934,3714
332,0.020552846,3410
333,0.0094893295,960
334,0.08300109,993
335,0.52781737,5787
336,0.030054307,250
337,0.084826276,1065
338,0.26761943,4539
339,0.9809775,6304
340,0.22867526,2531
341,0.2710429,2243
342,0.03780843,1843
343,0.24546364,4351
344,0.23297793,576
345,0.30254433,250
346,0.07293443,1079
347,0.059427023,1426
348,0.83608806,5206
349,0.87174284,5613
350,0.8004593,6943
351,0.08138386,250
352,0.72292846,2663
353,0.69106513,5859
354,0.079008654,514
355,0.018948063,377
356,0.32073218,4877
357,0.14838684,250
358,0.889505,8497
359,0.68545747,8141
360,0.8091118,7347
361,0.40250823,1529
362,0.21028098,1129
363,0.8228203,6502
364,0.008434107,250
365,0.66515356,5650
366,0.34177655,2165
367,0.07492931,288
368,0.18078038,3451
369,0.0030571974,250
370,0.3707466,6327
371,0.066505015,1138
372,0.18341728,1931
373,0.07465953,4275
374,0.35310873,3161
375,0.74876916,5037
376,0.15932028,723
377,0.16902228,4892
378,0.00332729,250
379,0.72130793,5964
380,0.4331118,5071
381,0.33002248,2853
382,0.14360824,250
383,0.8966925,6607
384,0.45225936,6199
385,0.3350445,4810
386,0.83758354,7482
387,0.17086364,2807
388,0.027111482,1518
389,0.093602024,250
390,0.0629751,2086
391,0.81843305,7184
392,0.56704926,5222
393,0.13710082,2652
394,0.5793222,7200
395,0.7409308,7631
396,0.37179765,1571
397,0.41164747,4821
398,0.007086295,250
399,0.4427486,1821
400,0.70370173,6623
401,0.42715055,1412
402,0.18934828,930
403,0.93948793,8184
404,0.9168558,7118
405,0.9318212,6658
406,0.4266839,8070
407,0.28951374,2483
408,0.4367267,250
409,0.49348235,2719
410,0.11885776,2290
411,0.31164336,2774
412,0.71713644,7468
413,0.021582417,2173
414,0.16299544,3366
415,0.007719911,250
416,0.12577717,521
417,0.48659626,5087
418,0.15869272,3182
419,0.2179901,3283
420,0.41097072,3810
421,0.0248036,3104
422,0.13879861,5576
423,0.32045978,2238
424,0.92181635,5717
425,0.08625381,1665
426,0.0042668018,250
427,0.009289646,250
428,0.040660586,250
429,0.14469911,4684
430,0.8900212,7077
431,0.33614615,3105
432,0.025299951,951
433,0.026254758,400
434,0.04519105,250
435,0.32682055,6062
436,0.22379188,1038
437,0.73002106,8219
438,0.5277714,6640
439,0.061207768,2337
440,0.6794986,2018
